lane,count
"original_8ball",8
"bot_status",8
"bot_origin",8
"bot_help",8
"bot_commands",8
"bot_insult",8
"bot_repeat",8
"bot_blink",8
"sro_win",8
"sro_rank",8
"sro_build",8
"sro_bald",8
"sro_plumbing",8
"sro_bitcoin",8
"sro_jokic",8
"sro_history",8
"mtf_british",8
"mtf_nidalee",8
"mtf_positive",8
"copbro_fed",8
"john_doubters",8
"teamplay_mod",8
"bones_creator",8
"misanthrope",8
"truth_lie",8
"game_winnable",8
"game_doomed",8
"game_comeback",8
"build_verdict",8
"rank_masters",8
"top_lane",8
"vision",8
"objective",8
"dive_trade",8
"next_champion",8
"comparison",8
"social_like",8
"social_appearance",8
"social_romance",8
"location",8
"gamba",8
"outside_sleep",8
"food_drink",8
"work_money",8
"nonsense",8
"emote_reaction",8
"fallback_prediction",0
"fallback_permission",0
"fallback_why",0
"fallback_when",0
"fallback_comparison",0
"fallback_identity",0
"fallback_social",0
"fallback_life",0
"fallback_reaction",0
"fallback_nonsense",0
"champion_renekton",0
"champion_nasus",0
"champion_nidalee",0
"champion_jax",0
"champion_darius",0
"champion_garen",0
"champion_illaoi",0
"champion_singed",0
"champion_teemo",0
"champion_irelia",0
"champion_ksante",0
"champion_gangplank",0
"champion_malphite",0
"champion_sett",0
"champion_gwen",0
"champion_riven",0
